year,departamento,total,temp_prom,emergencias,humedad,predida_bosques,necesidad_insatisfecha,precipitacion,superficie_reforestada
2017,ANCASH,1720,12.300833333333337,844,76.445,,14.9346896373733,1181.3,1378.0
2017,AYACUCHO,1657,18.13888888888889,312,62.87333333333333,2781.0,20.29829245550736,,934.0
2017,CAJAMARCA,420,15.044166666666664,563,63.8425,2222.0,21.39412475235687,767.5000000000001,350.0
2017,CUSCO,537,13.04416666666667,274,68.235,12181.0,18.64004732287269,,627.0
2017,HUANUCO,92,20.9125,103,64.63916666666667,19236.0,29.12135295601424,497.5,82.0
2017,ICA,4384,22.705833333333334,153,66.89166666666667,,8.805168615874326,39.00000000000001,
2017,JUNIN,220,12.759166666666664,150,57.62083333333334,11427.0,25.9679674598499,,106.0
2017,LA LIBERTAD,5904,20.876363636363635,357,85.50272727272726,107.0,13.41765705296874,83.2,497.0
2017,LAMBAYEQUE,1579,22.01666666666667,100,80.51833333333333,,14.21396237498574,202.6000000000001,92.0
2017,LORETO,1089,27.525,106,89.03666666666665,19082.0,55.62417784957838,2667.7,
2017,MADRE DE DIOS,565,26.977499999999996,46,92.91083333333334,23669.0,22.84010329634661,2325.0,
2017,PASCO,4,5.514444444444445,374,84.6275,8090.0,32.6622237586766,,34.0
2017,PIURA,44274,24.95909090909091,461,72.73818181818181,465.0,26.97314831051433,,151.0
2017,SAN MARTIN,460,23.06416666666667,161,82.53166666666665,12501.0,34.15692713678165,1473.4,
2017,TUMBES,4145,25.799,165,85.792,,25.5897416847377,817.0,
2017,UCAYALI,779,25.902500000000003,135,87.87416666666667,29905.0,42.29384794833474,2329.5,
2018,AMAZONAS,109,14.85,234,80.43333333333334,7453.0,33.83840500379529,989.0,490.0
2018,ANCASH,6,12.033333333333331,194,73.85833333333333,,18.15611253469841,1069.7,843.0
2018,AYACUCHO,202,17.083333333333332,320,63.46666666666667,1744.0,18.43797499063068,629.2,287.0
2018,CAJAMARCA,6,14.866666666666667,255,61.95833333333334,1276.0,20.21397205667299,730.4,515.0
2018,CUSCO,79,12.591666666666669,449,69.65833333333335,9643.0,15.23822126788224,788.5,65.0
2018,HUANUCO,25,20.241666666666667,207,66.39166666666667,16560.0,23.67019539127449,571.3,49.0
2018,ICA,127,22.366666666666664,85,66.825,,8.243784295854148,4.4,
2018,JUNIN,51,12.341666666666669,277,59.33333333333334,8497.0,24.08682740477654,735.9999999999999,176.0
2018,LA LIBERTAD,3,20.025,64,85.41666666666667,142.0,10.647599385794,14.1,398.0
2018,LAMBAYEQUE,4,20.925,63,81.68333333333334,,9.812053104276794,16.2,560.0
2018,LORETO,1833,27.20833333333333,78,89.5,26203.0,53.24508130583093,2994.5,
2018,MADRE DE DIOS,1234,26.225000000000005,49,92.775,23492.0,25.43368124045485,2424.5,
2018,MOQUEGUA,1,20.075,22,73.55,,11.37831830091004,5.600000000000001,45.0
2018,PASCO,3,5.166666666666666,303,82.26666666666667,5610.0,33.4127010355504,1159.1,24.0
2018,PIURA,525,24.95,222,74.44166666666666,60.0,24.57737719180355,12.4,270.0
2018,SAN MARTIN,98,22.75,176,83.69166666666666,21376.0,32.84088928215628,1488.9,
2018,TUMBES,64,25.958333333333332,66,81.50000000000001,,26.23824625261473,171.2,
2018,UCAYALI,317,25.541666666666668,126,87.71666666666665,25991.0,40.55262546561378,1691.3,
2019,AMAZONAS,164,15.016666666666667,159,80.83333333333333,5805.0,30.17244851037449,1074.3,1799.0
2019,ANCASH,20,12.45,455,67.89166666666667,,17.2014035176195,962.4,924.0
2019,AYACUCHO,95,16.979999999999997,231,68.15,2166.0,19.18479144342061,535.9,189.0
2019,CAJAMARCA,398,14.958333333333334,271,65.80833333333334,600.0,17.19531110406047,813.9000000000001,844.0
2019,CUSCO,54,12.891666666666667,88,72.44166666666668,7103.0,13.54676287784103,838.1,693.0
2019,HUANUCO,35,20.44166666666667,228,66.64166666666667,14956.0,23.84042724413349,566.1,948.0
2019,ICA,51,22.11666666666667,54,69.69166666666668,,8.963453347836547,11.9,295.0
2019,JUNIN,482,12.345454545454546,155,59.11818181818182,13960.0,23.10327586020944,704.4,1016.0
2019,LA LIBERTAD,366,20.616666666666667,48,85.88333333333333,37.0,10.14324183468827,22.2,609.0
2019,LAMBAYEQUE,770,21.45,65,80.98333333333333,,10.23768025737717,27.8,569.0
2019,LORETO,2547,27.350000000000005,79,87.2,23140.0,52.42563052740221,2964.9,100.0
2019,MADRE DE DIOS,7398,26.625,3,91.35,21378.0,23.21507619771074,2008.4,
2019,PASCO,36,5.458333333333333,514,81.175,6035.0,29.89669181266596,1632.5,959.0
2019,PIURA,70,25.383333333333336,114,74.275,27.0,22.3131259897851,58.6,202.0
2019,PUNO,65,10.716666666666669,43,62.13333333333333,3716.0,20.86665958072045,588.3,82.0
2019,SAN MARTIN,1969,22.95,194,83.30000000000001,11034.0,29.05462862299556,1721.8,1857.0
2019,TUMBES,508,26.291666666666668,69,81.20833333333333,,20.73924013979414,247.3,
2019,UCAYALI,213,25.733333333333334,138,89.08333333333333,38377.0,43.44754261988696,2695.7,4432.0
2020,AMAZONAS,873,15.341666666666663,132,78.92500000000001,11540.79,30.88036464243624,885.9000000000001,333.0
2020,AYACUCHO,1583,18.190000000000005,425,66.49999999999999,2710.71,17.78793806932223,,319.0
2020,CAJAMARCA,266,15.455555555555552,133,61.73333333333333,1602.9,18.26943900543841,725.1999999999999,1537.0
2020,CUSCO,2499,14.01,328,69.9,8858.34,17.63990637287804,,675.0
2020,HUANUCO,1133,21.07777777777778,327,64.03333333333335,17911.44,25.08604677784608,500.3999999999999,729.0
2020,ICA,7144,22.67142857142857,63,69.7,,9.717555532730872,,26.0
2020,JUNIN,3738,13.250000000000002,222,58.775,20765.97,22.71110186205916,655.1,165.0
2020,LA LIBERTAD,390,20.166666666666664,39,90.91111111111113,128.07,10.55881408330315,9.8,336.0
